id,source_file,family,control_ref,actual_status,actual_risk,latency_seconds,violated_controls,audit_findings,mandated_remediation
BLIND-011,blind_011_au_au_3.json,AU,AU-3,COMPLIANT,LOW,6.9564,,"The audit records for the Appeals-AuditTrail system contain all required fields as specified in AU-3, including timestamp, source, user or service identity, event type, affected object, outcome, and originating network context. Administrative changes are also logged with before-and-after configuration values, confirming compliance with the control requirements.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-012,blind_012_au_au_6.json,AU,AU-6,PARTIALLY_COMPLIANT,MODERATE,8.0654,AU-6,"The system has automated log correlation and security alerts in place. However, the documented weekly human review was completed late in three of the last twelve weeks due to staffing coverage issues, indicating a bounded deficiency in the timely review process.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To address the bounded deficiency, it is recommended to improve staffing coverage to ensure timely completion of the weekly human review of audit records."
BLIND-013,blind_013_au_au_9.json,AU,AU-9,NON_COMPLIANT,HIGH,8.5997,AU-9,"The same production platform administrators who manage source systems also hold write and delete permissions on the audit bucket, which undermines the segregation of duties necessary to protect audit information from unauthorized modification or deletion. While MFA and private access are enforced, the potential for unauthorized access exists due to the permissions granted to the administrators.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.",Implement stricter access controls to ensure that individuals who manage source systems do not have write or delete permissions on the audit logs. Establish a clear segregation of duties to protect the integrity of audit information.
BLIND-014,blind_014_au_au_2.json,AU,AU-2,NON_COMPLIANT,CRITICAL,8.8296,AU-2,"Administrative network-policy changes are not captured by the production logging pipeline, leading to an unauthorized change that opened the production document store to anonymous Internet access. This lack of logging prevents attribution of the actor involved in the incident, indicating a major deficiency in the event logging control.

Deterministic severity rule R4 was triggered by: direct public exposure of a sensitive production resource.","Implement comprehensive logging for all administrative changes, ensuring that all relevant events are captured and retained to support incident investigations and accountability."
BLIND-015,blind_015_au_au_2.json,AU,AU-2,NON_COMPLIANT,HIGH,7.1784,AU-2,"The logging configuration excludes production identity-provider administrative changes and cloud network-policy changes, indicating a significant gap in the logging of critical events required for effective audit and accountability.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.","Review and update the logging configuration to include all relevant event types, particularly production identity-provider administrative changes and cloud network-policy changes, to ensure compliance with AU-2."
BLIND-016,blind_016_ca_ca_2.json,CA,CA-2,COMPLIANT,LOW,6.0378,,"The system completed its scheduled control assessment, recording test procedures, evidence references, findings, responsible owners, and retest results for closed items, which supports compliance with CA-2 requirements.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-017,blind_017_ca_ca_5.json,CA,CA-5,PARTIALLY_COMPLIANT,MODERATE,7.8775,CA-5,"The POA&M contains owners, milestones, risk descriptions, and evidence links. Three medium-priority items are 18 to 32 days past their planned completion dates, indicating a bounded deficiency. Compensating controls remain in place, and the items are reviewed in the monthly risk meeting. No active exposure is described.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Remediation efforts should focus on addressing the overdue items in the POA&M to ensure timely completion and update of the plan.
BLIND-018,blind_018_ca_ca_2.json,CA,CA-2,NON_COMPLIANT,HIGH,8.9165,CA-2,"The most recent assessment artifact is outdated and does not cover the new identity provider, database service, or network design. A formal assessment of the changed control implementation has not been performed, indicating a significant gap in compliance with CA-2 requirements.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.","Conduct a formal control assessment to evaluate the new identity provider, database service, and network design to ensure compliance with CA-2."
BLIND-019,blind_019_ca_ca_8.json,CA,CA-8,NON_COMPLIANT,CRITICAL,6.2375,CA-8,"A penetration test revealed that an unauthenticated request could access an administrator-only API, returning protected case data. This indicates confirmed sensitive data disclosure and direct public exposure of sensitive resources. The endpoint remains deployed without a fix or compensating controls, establishing a major deficiency.

Deterministic severity rule R4 was triggered by: confirmed sensitive-data disclosure or loss; direct public exposure of a sensitive production resource; internet-facing known exploitable critical vulnerability without mitigation.",Immediate remediation is required to secure the exposed API endpoint and implement compensating controls until a code fix is deployed.
BLIND-020,blind_020_ca_ca_8.json,CA,CA-8,NON_COMPLIANT,CRITICAL,6.0293,CA-8,"External testing identified an API endpoint that accepts an expired session token, allowing modification of another taxpayer's mailing address. This endpoint is directly exposed to the public and remains enabled in production, indicating a significant vulnerability.

Deterministic severity rule R4 was triggered by: direct public exposure of a sensitive production resource.",The vulnerable API endpoint should be disabled or secured to prevent unauthorized access and modification of sensitive information until a fix can be deployed.
BLIND-021,blind_021_cm_cm_2.json,CM,CM-2,COMPLIANT,LOW,6.1566,,"The infrastructure baseline is version-controlled, approved, and deployed through the same pipeline used for production. Daily drift checks compare running resources with the baseline and automatically open a ticket for unapproved differences. The current report shows no unresolved production drift, indicating effective management of the baseline configuration.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-022,blind_022_cm_cm_8.json,CM,CM-8,PARTIALLY_COMPLIANT,MODERATE,7.5779,CM-8,"The component inventory includes accounts, clusters, databases, queues, and persistent workloads. However, short-lived batch workers are represented by their managed worker group rather than as individual instances, and two recent jobs were not visible as individual inventory records, indicating a limitation in the completeness of the inventory.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To improve compliance with CM-8, the inventory should be updated to include short-lived batch workers as individual instances or ensure that their representation accurately reflects their operational status."
BLIND-023,blind_023_cm_cm_3.json,CM,CM-3,NON_COMPLIANT,HIGH,9.5794,CM-3|CM-3.1,"The emergency-change path allows configuration changes without prior approval, which violates the requirement for review and approval of proposed changes. Additionally, retrospective reviews are inconsistent, and there is no enforced separation of duties between requesters and approvers, indicating a significant deficiency in the control process.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.","Implement a formal approval process for all configuration changes, ensure consistent retrospective reviews, and establish a separation of duties between requesters and approvers to align with CM-3 and CM-3.1."
BLIND-024,blind_024_cm_cm_6.json,CM,CM-6,NON_COMPLIANT,CRITICAL,9.6732,CM-6,"The configuration update disabled the public-access block on the production export bucket and applied an ACL that allows anonymous reads, directly exposing sensitive customer data to public access. This constitutes a major deficiency in configuration management as it violates the principle of maintaining restrictive access controls.

Deterministic severity rule R4 was triggered by: direct public exposure of a sensitive production resource.",Reinstate the public-access block on the production export bucket and remove the public ACL to prevent unauthorized access to sensitive customer data. Establish and document secure configuration settings in accordance with CM-6.
BLIND-025,blind_025_cm_cm_7.json,CM,CM-7,COMPLIANT,LOW,6.9597,,"The production build hosts use an approved minimal image, removing unnecessary software and services, and enforcing package allowlisting. The latest scan confirmed no unauthorized services are enabled, supporting compliance with CM-7 (Least Functionality).

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-026,blind_026_cp_cp_4.json,CP,CP-4,COMPLIANT,LOW,6.103,,"The recovery team completed a scheduled exercise that restored the application, database, identity integration, and outbound notification path in the alternate region. Recovery objectives were met, exceptions were documented, and findings were retested after correction, indicating effective contingency plan testing as per CP-4.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-027,blind_027_cp_cp_9.json,CP,CP-9,PARTIALLY_COMPLIANT,MODERATE,6.1868,CP-9,"The system is creating encrypted daily backups and immutable weekly copies, which supports the backup requirements. However, the quarterly restore test is overdue, indicating a bounded deficiency in the testing of backup restoration capabilities.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To address the bounded deficiency, ensure that the overdue quarterly restore test is conducted as soon as the test environment is available."
BLIND-028,blind_028_cp_cp_10.json,CP,CP-10,NON_COMPLIANT,HIGH,5.5284,CP-10,"The system has replicated application images and database backups, but the signing key needed to start the application is not replicated and cannot be reconstructed from the recovery package. This indicates a major deficiency in the recovery capability, as the service cannot complete reconstitution without manually rebuilding the key hierarchy.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.","To address the major deficiency, ensure that the signing key is included in the recovery strategy and replicated alongside application images and database backups to enable complete system recovery."
BLIND-029,blind_029_cp_cp_9.json,CP,CP-9,NON_COMPLIANT,CRITICAL,6.0538,CP-9,"A ransomware event is actively encrypting the production file service, and the only recent backup repository is mounted read-write in the same environment, leading to encryption of backup data as well. There is no isolated immutable copy of the affected data set, indicating a major deficiency in backup protection and recovery capability.

Deterministic severity rule R4 was triggered by: active compromise or destructive activity.",Implement isolated and immutable backup solutions to protect against ransomware attacks and ensure that backups are not susceptible to encryption by malicious activity.
BLIND-030,blind_030_cp_cp_2.json,CP,CP-2,PARTIALLY_COMPLIANT,MODERATE,10.4346,CP-2,"The contingency plan is approved and covers essential elements such as roles, recovery priorities, dependencies, and communications. However, one external telecom contact is outdated, indicating a need for an update to the contact information, which contributes to a bounded deficiency.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Update the contingency plan to reflect the current external telecom contact information and ensure all contact details are accurate.
BLIND-031,blind_031_ia_ia_2.json,IA,IA-2,COMPLIANT,LOW,7.8862,,"All workforce identities authenticate through the enterprise identity provider, and administrators use phishing-resistant hardware-backed MFA. Shared administrator accounts are prohibited, and privileged sessions are tied to individual identities. The latest access review found no password-only privileged accounts, indicating compliance with IA-2 and IA-2.1.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-032,blind_032_ia_ia_5.json,IA,IA-5,PARTIALLY_COMPLIANT,MODERATE,8.0874,IA-5,"Authenticator issuance, revocation, and rotation are centrally managed. However, one non-production service credential exceeded its 90-day rotation interval by seven days due to an automation failure. This indicates a bounded deficiency in the enforcement of the authenticator rotation policy, although the credential is limited to a synthetic-data environment and cannot access production.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Rotation of the affected credential has been scheduled and monitoring remains active. Continued enforcement of the rotation policy is necessary to prevent future lapses.
BLIND-033,blind_033_ia_ia_2.json,IA,IA-2,NON_COMPLIANT,CRITICAL,7.4789,IA-2|IA-2.1,"The production global-administrator account is shared and uses a password without multi-factor authentication (MFA). This setup violates the requirements for unique identification and authentication of users (IA-2) and the requirement for MFA for privileged accounts (IA-2.1). Additionally, the shared nature of the account prevents reliable tracking of actions to individual administrators.

Deterministic severity rule R4 was triggered by: internet-exposed privileged interface with materially weak authentication.",Implement unique accounts for each administrator and enforce multi-factor authentication for access to privileged accounts to comply with IA-2 and IA-2.1.
BLIND-034,blind_034_ia_ia_2.json,IA,IA-2,NON_COMPLIANT,CRITICAL,8.5905,IA-2,"An attacker used a stolen production administrator credential to sign in from an unrecognized network and create a new privileged identity. This indicates unauthorized privileged use, as the attacker was able to gain access and create an account without valid authorization.

Deterministic severity rule R4 was triggered by: actual unauthorized privileged use.",Immediate revocation of the attacker-created account and a review of authentication mechanisms to ensure that unique identification and authentication processes are effectively implemented.
BLIND-035,blind_035_ia_ia_8.json,IA,IA-8,NON_COMPLIANT,HIGH,11.7847,IA-8,"The application uses a shared federation identity for three external partner organizations, which prevents it from uniquely identifying and authenticating individual partner employees. This lack of unique identification constitutes a major deficiency in meeting the requirements of IA-8.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.",Implement a mechanism to uniquely identify and authenticate individual non-organizational users to comply with IA-8.
BLIND-036,blind_036_ir_ir_3.json,IR,IR-3,COMPLIANT,LOW,7.3734,,"The incident-response team conducts semiannual exercises that include various scenarios and actions, demonstrating effective testing of incident response capabilities. Corrective actions from prior exercises have been closed, indicating a proactive approach to incident response.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-037,blind_037_ir_ir_5.json,IR,IR-5,PARTIALLY_COMPLIANT,MODERATE,7.9918,IR-5,"All security incidents are tracked with unique tickets and relevant details. However, for four low-severity incidents, the root-cause field was left blank after closure, indicating incomplete documentation for these incidents. High-severity incidents have complete records, suggesting a deficiency in the documentation process for low-severity incidents.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To improve compliance with IR-5, ensure that all incidents, regardless of severity, have complete documentation, including root-cause analysis, to fully meet the tracking and documentation requirements."
BLIND-038,blind_038_ir_ir_6.json,IR,IR-6,NON_COMPLIANT,HIGH,7.2684,IR-6,"The incident process defines internal escalation, but there is no tested method or current contact list for required external regulatory notification. This indicates a significant gap in the incident reporting capability, which is a core requirement of IR-6.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.","Develop and implement a tested method for external regulatory notification, including maintaining an up-to-date contact list for required notifications."
BLIND-039,blind_039_ir_ir_4.json,IR,IR-4,NON_COMPLIANT,CRITICAL,7.2708,IR-4,"An attacker is actively exporting claim attachments from a compromised service account, and new exports are appearing in the egress logs. The account has not been disabled, and the affected workload remains connected, indicating that the incident is not contained and poses a significant risk.

Deterministic severity rule R4 was triggered by: active compromise or destructive activity; active/confirmed high-impact incident with containment or required-notification failure.",Immediate containment actions should be taken to disable the compromised service account and disconnect the affected workload to prevent further data export.
BLIND-040,blind_040_ir_ir_6.json,IR,IR-6,NON_COMPLIANT,CRITICAL,5.7338,IR-6,"A confirmed incident exposed regulated health records, and the organization failed to submit the required external notification after the notification threshold was exceeded. Internal leadership is aware of the incident, and the missed deadline is documented, indicating a significant deficiency in the incident reporting process.

Deterministic severity rule R4 was triggered by: confirmed sensitive-data disclosure or loss; active/confirmed high-impact incident with containment or required-notification failure.",The organization must ensure that external notifications are submitted in accordance with established reporting procedures to comply with incident reporting requirements.
BLIND-041,blind_041_ma_ma_4.json,MA,MA-4,COMPLIANT,LOW,8.0882,,"The RemoteMaintenance-Bastion system employs strong authentication, requires approved work orders, limits sessions to named targets, records maintenance activities, and automatically terminates sessions after the maintenance window, thus fully supporting the MA-4 control requirements without any material deficiencies.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-042,blind_042_ma_ma_3.json,MA,MA-3,PARTIALLY_COMPLIANT,MODERATE,6.9892,MA-3,"The maintenance tools are stored in a controlled enclave and scanned before use, which supports the control. However, one approved diagnostic package is 21 days behind its vendor security update due to compatibility issues, indicating a bounded deficiency in timely updates.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To address the bounded deficiency, the organization should prioritize updating the diagnostic package to the latest version once compatibility issues are resolved."
BLIND-043,blind_043_ma_ma_5.json,MA,MA-5,NON_COMPLIANT,CRITICAL,9.91,MA-5,"The vendor technician uses a shared production administrator credential without MFA, which constitutes materially weak authentication for an internet-exposed privileged interface. While the session is supervised and no unauthorized work is identified, the lack of individual accountability and MFA presents a significant security concern.

Deterministic severity rule R4 was triggered by: internet-exposed privileged interface with materially weak authentication.",Implement individual credentials for maintenance personnel and enforce Multi-Factor Authentication (MFA) for all privileged access to enhance security and accountability.
BLIND-044,blind_044_ma_ma_4.json,MA,MA-4,NON_COMPLIANT,CRITICAL,7.5762,MA-4,"The production firewall's maintenance interface is directly reachable from the Internet and uses a shared administrator password without MFA, which constitutes a significant security risk and violates the requirement for strong authentication and monitoring of nonlocal maintenance activities.

Deterministic severity rule R4 was triggered by: direct public exposure of a sensitive production resource; internet-exposed privileged interface with materially weak authentication.","Implement strong authentication mechanisms, such as MFA, for the maintenance interface and restrict access to the interface to trusted networks only."
BLIND-045,blind_045_ma_ma_2.json,MA,MA-2,COMPLIANT,LOW,6.6606,,"Maintenance windows require owner approval and are recorded with technician identity, affected components, start/end times, and validation results. Sampling the last quarter found approved tickets for all production maintenance and no work outside approved windows, supporting compliance with MA-2.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-046,blind_046_mp_mp_6.json,MP,MP-6,COMPLIANT,LOW,8.4944,,"Retired storage devices are sanitized using an approved method, the sanitization result is verified, and the asset record is updated before the device leaves the secure area. The latest disposal batch includes device identifiers, operator signatures, verification results, and destruction-chain records, supporting compliance with MP-6.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-047,blind_047_mp_mp_4.json,MP,MP-4,PARTIALLY_COMPLIANT,MODERATE,6.3481,MP-4,"Encrypted backup cartridges are stored in a badge-controlled vault, which supports secure storage. However, the blank shelf-location field in the media inventory indicates a deficiency in inventory management.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.","To address the deficiency, ensure that the media inventory is updated to reflect accurate shelf locations for all cartridges."
BLIND-048,blind_048_mp_mp_6.json,MP,MP-6,NON_COMPLIANT,HIGH,6.2474,MP-6,"The sanitization job for the retired encrypted SSDs was skipped, and there is no verification record of the sanitization process. Although the drives are under organizational control, the lack of sanitization prior to disposal or release constitutes a major deficiency in compliance with MP-6.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.",The organization should ensure that the sanitization process is completed and verified for the retired SSDs before any disposal or release. Implementing a reliable sanitization mechanism and maintaining verification records will help achieve compliance with MP-6.
BLIND-049,blind_049_mp_mp_5.json,MP,MP-5,NON_COMPLIANT,CRITICAL,7.9563,MP-5,"An unencrypted backup drive containing taxpayer records was lost during transport, indicating a failure to protect sensitive media as required by MP-5. The drive left the facility without effective protection and cannot be located, confirming a loss of sensitive data.

Deterministic severity rule R4 was triggered by: confirmed sensitive-data disclosure or loss.",Implement encryption for backup drives and ensure that all media transport activities are documented and conducted by authorized personnel to comply with MP-5.
BLIND-050,blind_050_mp_mp_2.json,MP,MP-2,PARTIALLY_COMPLIANT,MODERATE,8.2283,MP-2,"Access to the encrypted removable-media cabinet is limited to the data operations group, which supports the control. However, two engineers who no longer work in the building remain on the access list, indicating a bounded deficiency until they are removed. Media checkout requires a separate active badge scan, which is a compensating control.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Remove the two engineers from the access list during the next weekly access review to fully comply with the MP-2 control.
BLIND-051,blind_051_pe_pe_3.json,PE,PE-3,COMPLIANT,LOW,8.5954,,"The production equipment floor requires a facility badge and biometric verification, security staff monitor the entrance, tailgating alarms are enabled, and door events are logged. The latest access review confirmed that all active badge holders are mapped to approved roles, supporting compliance with PE-3.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-052,blind_052_pe_pe_6.json,PE,PE-6,PARTIALLY_COMPLIANT,MODERATE,7.439,PE-6,"Camera coverage and badge events are monitored continuously, but there is a blind spot outside a server-room door. The door is badge-controlled and alarmed, and the situation is being addressed with a scheduled camera replacement. This indicates a bounded deficiency due to the blind spot, but overall monitoring is in place.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Replace the camera to eliminate the blind spot and ensure comprehensive monitoring of physical access.
BLIND-053,blind_053_pe_pe_2.json,PE,PE-2,NON_COMPLIANT,CRITICAL,5.8737,PE-2,"Fourteen contractor badges provide data-center access without current physical-access approval records, indicating a failure to maintain an authorized access list as required by PE-2. This situation allows for uncontrolled physical access to a sensitive production area.

Deterministic severity rule R4 was triggered by: uncontrolled physical access to a sensitive production area.",Immediate review and re-authorization of all contractor access to ensure compliance with PE-2. Establish a process to maintain and regularly review the access list for all individuals with facility access.
BLIND-054,blind_054_pe_pe_3.json,PE,PE-3,NON_COMPLIANT,CRITICAL,6.2479,PE-3,"The loading-dock door does not latch properly, allowing unauthorized access to the production equipment corridor without badge verification. This condition has persisted, enabling uncontrolled physical access to sensitive production areas.

Deterministic severity rule R4 was triggered by: uncontrolled physical access to a sensitive production area.",Immediate repair of the loading-dock door is required to restore proper latching functionality and ensure that physical access controls are enforced.
BLIND-055,blind_055_pe_pe_2.json,PE,PE-2,NON_COMPLIANT,HIGH,7.2697,PE-2,"The quarterly badge review was skipped for two consecutive quarters, resulting in 37 active data-center badge holders without current manager recertification, indicating a significant deficiency in maintaining an up-to-date access authorization list as required by PE-2.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.",Conduct the overdue badge review immediately to recertify access for all badge holders and establish a process to ensure timely future reviews.
BLIND-056,blind_056_pl_pl_2.json,PL,PL-2,COMPLIANT,LOW,9.1124,,"The Assistance-SystemPlan describes the system boundary, information types, roles, external connections, identity services, encryption approach, logging, contingency dependencies, and responsibility assignments. It has been updated after the last architecture release and approved by the system owner, supporting compliance with PL-2 requirements.

Deterministic severity rule R1 applies: no material in-scope deficiency was established by the supplied evidence.",No material remediation is required for the supplied in-scope evidence.
BLIND-057,blind_057_pl_pl_4.json,PL,PL-4,PARTIALLY_COMPLIANT,MODERATE,6.6617,PL-4,"Updated rules of behavior were issued, and 92% of users acknowledged the revision. The remaining users have received reminders and retain the same non-privileged application access. The prior rules remain in effect until acknowledgment, indicating a bounded deficiency in user acknowledgment.

Deterministic severity rule R2 applies: the evidence shows a bounded deficiency or limited exception without an R4 active/direct severe condition.",Encourage the remaining users to acknowledge the updated rules of behavior to fully comply with the control requirements.
BLIND-058,blind_058_pl_pl_2.json,PL,PL-2,NON_COMPLIANT,HIGH,9.508,PL-2,"The authorization plan is outdated, describing a retired on-premises identity service and omitting critical components such as the cloud administrator boundary, production encryption design, and current external analytics connection. This indicates a major deficiency as the plan does not accurately reflect the current system architecture and operational context.

Deterministic severity rule R3 applies: the evidence shows a major control failure with significant impact potential, but no R4 active/direct severe condition was established.","The security and privacy plans should be updated to accurately reflect the current system components, operational context, and any changes in the environment of operation."
BLIND-059,blind_059_pl_pl_8.json,PL,PL-8,NON_COMPLIANT,CRITICAL,9.8438,PL-8,"An unapproved service-mesh route bypasses the authentication gateway and forwards live session tokens to an external troubleshooting endpoint over HTTP, indicating a major deficiency in the security architecture and a critical trigger for active plaintext transmission of sensitive data.

Deterministic severity rule R4 was triggered by: active plaintext transmission of sensitive data or credentials.","Implement proper routing controls to ensure that all service-mesh routes are approved and authenticated, and ensure that sensitive data is transmitted over secure channels."
